Displacement,Force
(mm),(kN)
"0.0000","0.0069"
"0.0000","0.0076"
"0.0004","0.0205"
"0.0015","0.0961"
"0.0025","0.1853"
"0.0037","0.2915"
"0.0054","0.4512"
"0.0076","0.6469"
"0.0098","0.8472"
"0.0117","1.0169"
"0.0131","1.1438"
"0.0145","1.2678"
"0.0162","1.4238"
"0.0182","1.6004"
"0.0201","1.7705"
"0.0216","1.9049"
"0.0230","2.0273"
"0.0247","2.1752"
"0.0266","2.3485"
"0.0285","2.5209"
"0.0301","2.6587"
"0.0314","2.7755"
"0.0330","2.9094"
"0.0348","3.0699"
"0.0367","3.2406"
"0.0384","3.3883"
"0.0397","3.5055"
"0.0412","3.6301"
"0.0429","3.7855"
"0.0449","3.9582"
"0.0468","4.1230"
"0.0482","4.2525"
"0.0496","4.3717"
"0.0513","4.5194"
"0.0533","4.6913"
"0.0552","4.8611"
"0.0568","4.9976"
"0.0581","5.1124"
"0.0596","5.2453"
"0.0615","5.4068"
"0.0634","5.5755"
"0.0650","5.7198"
"0.0664","5.8374"
"0.0678","5.9622"
"0.0696","6.1165"
"0.0716","6.2899"
"0.0734","6.4521"
"0.0749","6.5787"
"0.0763","6.7006"
"0.0780","6.8493"
"0.0800","7.0187"
"0.0819","7.1862"
"0.0834","7.3178"
"0.0847","7.4303"
"0.0863","7.5650"
"0.0881","7.7250"
"0.0900","7.8918"
"0.0917","8.0351"
"0.0930","8.1500"
"0.0945","8.2742"
"0.0963","8.4300"
"0.0982","8.6008"
"0.1001","8.7585"
"0.1015","8.8834"
"0.1029","9.0031"
"0.1047","9.1506"
"0.1066","9.3211"
"0.1085","9.4843"
"0.1100","9.6125"
"0.1114","9.7262"
"0.1129","9.8605"
"0.1148","10.0198"
"0.1167","10.1850"
"0.1183","10.3213"
"0.1197","10.4339"
"0.1212","10.5600"
"0.1230","10.7136"
"0.1250","10.8823"
"0.1268","11.0372"
"0.1282","11.1578"
"0.1296","11.2780"
"0.1314","11.4271"
"0.1333","11.5921"
"0.1352","11.7495"
"0.1367","11.8742"
"0.1380","11.9860"
"0.1396","12.1220"
"0.1415","12.2820"
"0.1434","12.4423"
"0.1450","12.5743"
"0.1463","12.6850"
"0.1478","12.8089"
"0.1496","12.9627"
"0.1516","13.1296"
"0.1534","13.2767"
"0.1548","13.3939"
"0.1562","13.5134"
"0.1580","13.6599"
"0.1600","13.8255"
"0.1618","13.9832"
"0.1633","14.1045"
"0.1647","14.2178"
"0.1663","14.3558"
"0.1682","14.5134"
"0.1701","14.6718"
"0.1716","14.8008"
"0.1730","14.9090"
"0.1745","15.0363"
"0.1764","15.1916"
"0.1783","15.3563"
"0.1801","15.5019"
"0.1815","15.6175"
"0.1829","15.7362"
"0.1847","15.8858"
"0.1867","16.0510"
"0.1885","16.2021"
"0.1900","16.3203"
"0.1913","16.4319"
"0.1930","16.5672"
"0.1949","16.7255"
"0.1968","16.8825"
"0.1983","17.0073"
"0.1996","17.1154"
"0.2012","17.2419"
"0.2030","17.3940"
"0.2050","17.5568"
"0.2067","17.6984"
"0.2081","17.8112"
"0.2096","17.9321"
"0.2114","18.0812"
"0.2133","18.2454"
"0.2152","18.3979"
"0.2166","18.5146"
"0.2180","18.6249"
"0.2197","18.7638"
"0.2216","18.9208"
"0.2234","19.0736"
"0.2250","19.1967"
"0.2263","19.3033"
"0.2278","19.4293"
"0.2297","19.5834"
"0.2317","19.7444"
"0.2334","19.8842"
"0.2348","19.9986"
"0.2363","20.1192"
"0.2381","20.2678"
"0.2401","20.4310"
"0.2419","20.5766"
"0.2433","20.6894"
"0.2447","20.8015"
"0.2464","20.9381"
"0.2483","21.0930"
"0.2501","21.2447"
"0.2516","21.3636"
"0.2529","21.4689"
"0.2545","21.5967"
"0.2564","21.7494"
"0.2583","21.9088"
"0.2600","22.0464"
"0.2614","22.1570"
"0.2629","22.2774"
"0.2647","22.4273"
"0.2667","22.5880"
"0.2685","22.7318"
"0.2699","22.8445"
"0.2713","22.9549"
"0.2730","23.0923"
"0.2749","23.2469"
"0.2767","23.3927"
"0.2782","23.5086"
"0.2796","23.6151"
"0.2812","23.7427"
"0.2831","23.8966"
"0.2850","24.0562"
"0.2867","24.1886"
"0.2881","24.2973"
"0.2896","24.4198"
"0.2915","24.5696"
"0.2935","24.7289"
"0.2952","24.8678"
"0.2966","24.9752"
"0.2980","25.0862"
"0.2997","25.2242"
"0.3016","25.3763"
"0.3034","25.5213"
"0.3049","25.6354"
"0.3062","25.7406"
"0.3078","25.8699"
"0.3097","26.0224"
"0.3117","26.1779"
"0.3133","26.3076"
"0.3147","26.4149"
"0.3163","26.5372"
"0.3181","26.6865"
"0.3201","26.8445"
"0.3218","26.9808"
"0.3232","27.0880"
"0.3246","27.1992"
"0.3264","27.3377"
"0.3283","27.4898"
"0.3301","27.6314"
"0.3315","27.7437"
"0.3329","27.8506"
"0.3345","27.9822"
"0.3365","28.1352"
"0.3384","28.2892"
"0.3400","28.4155"
"0.3414","28.5227"
"0.3430","28.6464"
"0.3449","28.7968"
"0.3468","28.9525"
"0.3485","29.0834"
"0.3498","29.1887"
"0.3513","29.3016"
"0.3530","29.4405"
"0.3550","29.5927"
"0.3567","29.7324"
"0.3582","29.8413"
"0.3596","29.9477"
"0.3612","30.0789"
"0.3631","30.2298"
"0.3650","30.3808"
"0.3666","30.5038"
"0.3680","30.6088"
"0.3696","30.7333"
"0.3715","30.8826"
"0.3734","31.0362"
"0.3751","31.1672"
"0.3765","31.2723"
"0.3780","31.3854"
"0.3798","31.5270"
"0.3817","31.6791"
"0.3834","31.8154"
"0.3848","31.9226"
"0.3862","32.0290"
"0.3879","32.1604"
"0.3898","32.3124"
"0.3917","32.4622"
"0.3933","32.5821"
"0.3947","32.6878"
"0.3963","32.8125"
"0.3982","32.9603"
"0.4001","33.1133"
"0.4018","33.2415"
"0.4032","33.3445"
"0.4047","33.4583"
"0.4064","33.5976"
"0.4083","33.7476"
"0.4101","33.8822"
"0.4115","33.9867"
"0.4129","34.0916"
"0.4146","34.2246"
"0.4165","34.3738"
"0.4184","34.5191"
"0.4199","34.6364"
"0.4213","34.7396"
"0.4229","34.8644"
"0.4248","35.0145"
"0.4268","35.1662"
"0.4284","35.2923"
"0.4298","35.3964"
"0.4313","35.5104"
"0.4331","35.6505"
"0.4350","35.7999"
"0.4367","35.9301"
"0.4381","36.0336"
"0.4395","36.1414"
"0.4413","36.2741"
"0.4432","36.4243"
"0.4450","36.5695"
"0.4466","36.6838"
"0.4480","36.7887"
"0.4497","36.9182"
"0.4516","37.0669"
"0.4535","37.2158"
"0.4551","37.3367"
"0.4565","37.4362"
"0.4580","37.5525"
"0.4598","37.6939"
"0.4617","37.8398"
"0.4634","37.9667"
"0.4648","38.0682"
"0.4662","38.1726"
"0.4679","38.3052"
"0.4698","38.4543"
"0.4717","38.5946"
"0.4732","38.7076"
"0.4746","38.8140"
"0.4763","38.9410"
"0.4782","39.0889"
"0.4801","39.2367"
"0.4817","39.3555"
"0.4831","39.4570"
"0.4847","39.5748"
"0.4865","39.7136"
"0.4884","39.8588"
"0.4900","39.9832"
"0.4914","40.0821"
"0.4928","40.1891"
"0.4946","40.3242"
"0.4966","40.4720"
"0.4984","40.6123"
"0.4999","40.7236"
"0.5013","40.8274"
"0.5030","40.9572"
"0.5050","41.1051"
"0.5068","41.2478"
"0.5084","41.3627"
"0.5098","41.4626"
"0.5113","41.5789"
"0.5132","41.7192"
"0.5151","41.8628"
"0.5167","41.9831"
"0.5180","42.0824"
"0.5195","42.1903"
"0.5213","42.3252"
"0.5232","42.4745"
"0.5250","42.6116"
"0.5265","42.7188"
"0.5279","42.8242"
"0.5296","42.9547"
"0.5316","43.1025"
"0.5335","43.2474"
"0.5350","43.3607"
"0.5364","43.4585"
"0.5380","43.5779"
"0.5398","43.7173"
"0.5417","43.8586"
"0.5433","43.9791"
"0.5447","44.0769"
"0.5462","44.1852"
"0.5480","44.3226"
"0.5499","44.4707"
"0.5517","44.6054"
"0.5532","44.7130"
"0.5546","44.8177"
"0.5564","44.9477"
"0.5583","45.0957"
"0.5602","45.2353"
"0.5617","45.3450"
"0.5631","45.4440"
"0.5647","45.5618"
"0.5665","45.7005"
"0.5684","45.8430"
"0.5700","45.9603"
"0.5714","46.0573"
"0.5729","46.1678"
"0.5747","46.3036"
"0.5766","46.4490"
"0.5784","46.5817"
"0.5798","46.6863"
"0.5813","46.7906"
"0.5830","46.9220"
"0.5850","47.0673"
"0.5868","47.2047"
"0.5883","47.3134"
"0.5897","47.4117"
"0.5913","47.5315"
"0.5932","47.6717"
"0.5951","47.8110"
"0.5966","47.9245"
"0.5980","48.0207"
"0.5995","48.1306"
"0.6013","48.2668"
"0.6033","48.4130"
"0.6050","48.5422"
"0.6065","48.6449"
"0.6080","48.7505"
"0.6097","48.8817"
"0.6117","49.0264"
"0.6135","49.1613"
"0.6150","49.2662"
"0.6164","49.3650"
"0.6180","49.4864"
"0.6199","49.6260"
"0.6218","49.7638"
"0.6233","49.8747"
"0.6246","49.9696"
"0.6262","50.0812"
"0.6280","50.2172"
"0.6299","50.3602"
"0.6317","50.4855"
"0.6331","50.5858"
"0.6346","50.6914"
"0.6363","50.8228"
"0.6383","50.9660"
"0.6401","51.0992"
"0.6416","51.2055"
"0.6430","51.3060"
"0.6447","51.4286"
"0.6466","51.5678"
"0.6484","51.7029"
"0.6499","51.8111"
"0.6513","51.9064"
"0.6529","52.0201"
"0.6547","52.1566"
"0.6567","52.2982"
"0.6584","52.4196"
"0.6598","52.5177"
"0.6613","52.6243"
"0.6631","52.7577"
"0.6651","52.9012"
"0.6668","53.0303"
"0.6683","53.1310"
"0.6697","53.2291"
"0.6714","53.3523"
"0.6733","53.4900"
"0.6751","53.6219"
"0.6766","53.7275"
"0.6779","53.8209"
"0.6795","53.9329"
"0.6814","54.0678"
"0.6833","54.2071"
"0.6850","54.3256"
"0.6864","54.4230"
"0.6879","54.5301"
"0.6897","54.6642"
"0.6917","54.8088"
"0.6935","54.9375"
"0.6949","55.0379"
"0.6963","55.1380"
"0.6981","55.2621"
"0.7000","55.4004"
"0.7018","55.5323"
"0.7032","55.6359"
"0.7046","55.7295"
"0.7062","55.8431"
"0.7081","55.9787"
"0.7100","56.1179"
"0.7117","56.2363"
"0.7131","56.3328"
"0.7146","56.4403"
"0.7165","56.5740"
"0.7184","56.7163"
"0.7202","56.8407"
"0.7216","56.9388"
"0.7230","57.0376"
"0.7248","57.1611"
"0.7266","57.2974"
"0.7284","57.4249"
"0.7299","57.5248"
"0.7312","57.6169"
"0.7329","57.7300"
"0.7347","57.8649"
"0.7366","58.0025"
"0.7383","58.1185"
"0.7397","58.2148"
"0.7412","58.3234"
"0.7431","58.4573"
"0.7451","58.5983"
"0.7468","58.7210"
"0.7482","58.8172"
"0.7497","58.9161"
"0.7514","59.0399"
"0.7533","59.1750"
"0.7551","59.2999"
"0.7565","59.3972"
"0.7579","59.4904"
"0.7596","59.6063"
"0.7614","59.7409"
"0.7634","59.8765"
"0.7650","59.9892"
"0.7664","60.0836"
"0.7680","60.1934"
"0.7699","60.3275"
"0.7718","60.4652"
"0.7735","60.5829"
"0.7749","60.6762"
"0.7763","60.7748"
"0.7781","60.8988"
"0.7800","61.0336"
"0.7817","61.1564"
"0.7832","61.2534"
"0.7845","61.3467"
"0.7862","61.4623"
"0.7881","61.5974"
"0.7900","61.7317"
"0.7916","61.8409"
"0.7930","61.9358"
"0.7946","62.0465"
"0.7965","62.1791"
"0.7984","62.3166"
"0.8001","62.4329"
"0.8015","62.5250"
"0.8030","62.6255"
"0.8048","62.7504"
"0.8067","62.8828"
"0.8084","63.0025"
"0.8098","63.0965"
"0.8112","63.1890"
"0.8129","63.3073"
"0.8148","63.4422"
"0.8167","63.5726"
"0.8183","63.6792"
"0.8197","63.7726"
"0.8213","63.8829"
"0.8232","64.0153"
"0.8251","64.1482"
"0.8268","64.2579"
"0.8282","64.3487"
"0.8297","64.4486"
"0.8315","64.5714"
"0.8333","64.7028"
"0.8350","64.8195"
"0.8365","64.9107"
"0.8379","65.0037"
"0.8396","65.1209"
"0.8415","65.2530"
"0.8434","65.3814"
"0.8449","65.4833"
"0.8463","65.5733"
"0.8479","65.6840"
"0.8498","65.8149"
"0.8518","65.9465"
"0.8534","66.0570"
"0.8548","66.1462"
"0.8563","66.2459"
"0.8581","66.3706"
"0.8600","66.5008"
"0.8617","66.6160"
"0.8631","66.7081"
"0.8646","66.8002"
"0.8663","66.9167"
"0.8682","67.0495"
"0.8700","67.1754"
"0.8716","67.2759"
"0.8730","67.3676"
"0.8746","67.4783"
"0.8765","67.6095"
"0.8785","67.7416"
"0.8801","67.8478"
"0.8815","67.9361"
"0.8830","68.0377"
"0.8848","68.1607"
"0.8867","68.2888"
"0.8884","68.4005"
"0.8898","68.4873"
"0.8912","68.5786"
"0.8930","68.6959"
"0.8948","68.8244"
"0.8967","68.9460"
"0.8982","69.0444"
"0.8996","69.1339"
"0.9013","69.2446"
"0.9032","69.3756"
"0.9051","69.5032"
"0.9067","69.6067"
"0.9081","69.6948"
"0.9097","69.7954"
"0.9115","69.9185"
"0.9134","70.0460"
"0.9151","70.1525"
